match_id,team1,team2,toss_winner,toss_decision,venue,match_winner,team1_win,team1_strength,team2_strength,strength_diff
1216535,252,3,3,field,Dubai International Cricket Stadium,3,0,0.45692883895131087,0.5523465703971119,-0.09541773144580101
1216536,6,129,129,field,Dubai International Cricket Stadium,129,0,0.5151515151515151,0.5674603174603174,-0.052308802308802305
1216537,494,134,134,field,Sheikh Zayed Stadium,134,0,0.4659090909090909,0.5063829787234042,-0.040473887814313325
1216538,3,2,3,bat,Sharjah Cricket Stadium,3,1,0.5523465703971119,0.46494464944649444,0.08740192095061744
1216539,252,129,129,field,Dubai International Cricket Stadium,252,1,0.45692883895131087,0.5674603174603174,-0.11053147850900658
1216540,1,6,1,bat,Sharjah Cricket Stadium,1,1,0.4925925925925926,0.5151515151515151,-0.022558922558922556
1216541,3,134,3,bat,Sheikh Zayed Stadium,134,0,0.5523465703971119,0.5063829787234042,0.04596359167370767
1216542,2,494,2,bat,Dubai International Cricket Stadium,2,1,0.46494464944649444,0.4659090909090909,-0.0009644414625964437
1216543,252,134,252,bat,Dubai International Cricket Stadium,252,1,0.45692883895131087,0.5063829787234042,-0.04945413977209334
1216544,1,129,1,bat,Dubai International Cricket Stadium,129,0,0.4925925925925926,0.5674603174603174,-0.07486772486772486
1216545,2,6,2,bat,Sheikh Zayed Stadium,6,0,0.46494464944649444,0.5151515151515151,-0.0502068657050207
1216546,252,494,252,bat,Dubai International Cricket Stadium,494,0,0.45692883895131087,0.4659090909090909,-0.008980251957780017
1216547,1,3,3,field,Dubai International Cricket Stadium,3,0,0.4925925925925926,0.5523465703971119,-0.0597539778045193
1237177,3,252,252,field,Dubai International Cricket Stadium,3,1,0.5523465703971119,0.45692883895131087,0.09541773144580101
1237178,1,2,2,field,Sheikh Zayed Stadium,2,0,0.4925925925925926,0.46494464944649444,0.027647943146098142
1237180,252,2,252,bat,Sheikh Zayed Stadium,252,1,0.45692883895131087,0.46494464944649444,-0.008015810495183573
1237181,252,3,252,bat,Dubai International Cricket Stadium,3,0,0.45692883895131087,0.5523465703971119,-0.09541773144580101
1254058,3,1,1,field,"MA Chidambaram Stadium, Chepauk, Chennai",1,0,0.5523465703971119,0.4925925925925926,0.0597539778045193
1254059,129,252,252,field,"Wankhede Stadium, Mumbai",252,0,0.5674603174603174,0.45692883895131087,0.11053147850900658
1254060,6,2,2,field,"MA Chidambaram Stadium, Chepauk, Chennai",6,1,0.5151515151515151,0.46494464944649444,0.0502068657050207
1254061,494,134,134,field,"Wankhede Stadium, Mumbai",494,1,0.4659090909090909,0.5063829787234042,-0.040473887814313325
1254062,3,6,6,field,"MA Chidambaram Stadium, Chepauk, Chennai",3,1,0.5523465703971119,0.5151515151515151,0.03719505524559674
1254063,1,2,2,field,"MA Chidambaram Stadium, Chepauk, Chennai",1,1,0.4925925925925926,0.46494464944649444,0.027647943146098142
1254064,252,134,134,field,"Wankhede Stadium, Mumbai",134,0,0.45692883895131087,0.5063829787234042,-0.04945413977209334
1254065,494,129,129,field,"Wankhede Stadium, Mumbai",129,0,0.4659090909090909,0.5674603174603174,-0.10155122655122656
1254066,3,2,3,bat,"MA Chidambaram Stadium, Chepauk, Chennai",3,1,0.5523465703971119,0.46494464944649444,0.08740192095061744
1254067,1,6,1,bat,"MA Chidambaram Stadium, Chepauk, Chennai",1,1,0.4925925925925926,0.5151515151515151,-0.022558922558922556
1254068,494,252,252,field,"Wankhede Stadium, Mumbai",252,0,0.4659090909090909,0.45692883895131087,0.008980251957780017
